incidentid,LocationID,CityCde,CityName,CountyCde,COUNTYNAMETXT,LocationTypeCde,LocationTypeDesc,LocDescription,LocStreetNumber,LocStreetDir,LocStreetName,LocStreetSfx,LocAptNumber,LocalRdwyNumber,LocZip,LocZipExtension,StateCde,LatDecimal,LatDegrees,LatMinutes,LongDecimal,LongDegrees,LongMinutes,MilePointNumber,DirFromCityCde,MilesFromCity,Sector,InCityLimits,IncidentLocationTypeCde,RdwyNumber
18824375,27295105,7301,PADUCAH,73,MCCRACKEN,,,HARRIS RESIDENCE,1031,,PALM,ST,2-Jan,CS1271,42001,,,37.0916612,37,5.5,-88.6271761,88,37.631,0.043,,,1,,1,
18826201,27297265,7301,PADUCAH,73,MCCRACKEN,,,DUDLEY COURT APARTMENT,801,,McGUIRE,AVE,k6,CS1221,42001,,,37.0808923,37,4.854,-88.6397886,88,38.387,0.184,,,3,,1,
18826203,27297267,7301,PADUCAH,73,MCCRACKEN,,,WAFFLE HOUSE,3522,,CLARKS RIVER,RD,,,42003,,,37.0481383,37,2.888,-88.5625124,88,33.751,17.726,,,6,,1,US0060
18826204,27297268,7301,PADUCAH,73,MCCRACKEN,,,N 9TH ST/MONROE,,N,9TH,ST,,CS1027,42001,,,37.0859225,37,5.155,-88.6053562,88,36.321,0.657,,,1,,1,
18828165,27299245,7301,PADUCAH,73,MCCRACKEN,,,AMERICA'S BEST VALUE,5125,,CAIRO,RD,,,42001,,,37.0727576,37,4.365,-88.7606194,88,45.637,4.042,,,7,,1,KY0305
18828830,27300061,7301,PADUCAH,73,MCCRACKEN,,,FRETWELL RESIDENCE,1543,,LITTLE,AVE,,CS1365,42003,,,37.0641003,37,3.846,-88.6031425,88,36.189,0.286,,,2,,1,
18828831,27300062,7301,PADUCAH,73,MCCRACKEN,,,BATH AND BODY WORKS,5101,,HINKLEVILLE,RD,,,42001,,,37.0787567,37,4.725,-88.688026,88,41.282,0,,,7,,1,
18828945,27300176,7301,PADUCAH,73,MCCRACKEN,,,PIZZA INN,1001,,US60,,,,42001,,,37.0828339,37,4.97,-88.6373664,88,38.242,13.217,,,3,,1,US0060
18828946,27300177,7301,PADUCAH,73,MCCRACKEN,,,WALL ST/BRIDGE ST,,,WALL,ST,,CS1421,42003,,,37.0601177,37,3.607,-88.5853779,88,35.123,0.069,,,6,,1,
18834021,27305803,7301,PADUCAH,73,MCCRACKEN,,,2142 SEITZ ST,2142,,SEITZ,ST,,CS1332,42001,,,37.0644009,37,3.864,-88.618362,88,37.102,0.263,,,4,,1,
18837918,27310549,7301,PADUCAH,73,MCCRACKEN,,,I 0024-4.2 MM,,,I24 W,,,,42001,,,37.0755079,37,4.53,-88.6784195,88,40.705,4.58,,,7,,1,I 0024
18843510,27317176,7301,PADUCAH,73,MCCRACKEN,21,,IHOP,2861,,JAMES SANDERS,BLVD,,,42001,,KY,37.07681897,37,4.609,-88.68414365,88,41.049,0.907,,,7,TRUE,1,
18843515,27317181,7301,PADUCAH,73,MCCRACKEN,20,,416 CHERRY CIRCLE,416,,CHERRY,CIR,4,,42003,,KY,37.06025408,37,3.615,-88.62367322,88,37.42,,,,4,TRUE,1,
18843517,27317183,7301,PADUCAH,73,MCCRACKEN,20,,3105 MAYFIELD RD,3105,,MAYFIELD,RD,,,42003,,KY,37.05815584,37,3.489,-88.61946752,88,37.168,8.61,,,4,TRUE,1,KY0994
18843520,27317186,7301,PADUCAH,73,MCCRACKEN,20,,TRIMBLE ST,3128,,TRIMBLE,ST,,,42001,,KY,37.07647535,37,4.589,-88.64223617,88,38.534,0.029,,,3,TRUE,1,
18843812,27317518,7301,PADUCAH,73,MCCRACKEN,,,COUNTRY HEARTH,727,,JOE CLIFTON,DR,,,42001,,,37.0796294,37,4.778,-88.6350668,88,38.104,10.748,,,3,,1,US0045
18848365,27322601,7301,PADUCAH,73,MCCRACKEN,,,WAL MART SOUTH,3220,,US60,,,,42001,,,37.0496748,37,2.98,-88.5659783,88,33.959,17.502,,,6,,1,US0060
18848366,27322602,7301,PADUCAH,73,MCCRACKEN,,,WAL MART SOUTH,3220,,IRVIN COBB DR,RD,,,42001,,,37.0463863,37,2.783,-88.5554338,88,33.326,18.136,,,6,,1,US0060
18850047,27324684,7301,PADUCAH,73,MCCRACKEN,,,INCOGNITO,3401,,CLARKS RIVER,RD,,,42003,,,37.0488774,37,2.933,-88.5648477,88,33.891,17.585,,,6,,1,US0060
18854098,27329413,7301,PADUCAH,73,MCCRACKEN,,,BAPTIST HEALTH,2501,,KENTUCKY,AVE,,,42001,,,37.0732958,37,4.398,-88.6258429,88,37.551,0.257,,,4,,1,US0045X
18854099,27329414,7301,PADUCAH,73,MCCRACKEN,,,WALMART,5130,,US60,,,,42001,,,37.0761879,37,4.571,-88.688236,88,41.294,10.249,,,7,,1,US0060
18854729,27330205,7301,PADUCAH,73,MCCRACKEN,24,,SPENCER'S GIFTS--KYOM,5101,,US60,,,,42001,,KY,37.07702989,37,4.622,-88.68588313,88,41.153,10.39,,,7,TRUE,1,US0060
18854887,27330375,7301,PADUCAH,73,MCCRACKEN,,,CALDWELL ST,1100,,CALDWELL,ST,,CS1398,42003,,,37.0730559,37,4.383,-88.5992364,88,35.954,0.483,,,2,,1,
18854888,27330376,7301,PADUCAH,73,MCCRACKEN,,,WALMART,3220,,IRVIN COBB,DR,,,42003,,,37.0525717,37,3.154,-88.56878,88,34.127,17.246,,,6,,1,US0060
18857142,27333035,7301,PADUCAH,73,MCCRACKEN,,,PARK AVE/MLK/KENTUCKY AVE.,,,US45 BUS,,,,42001,,KY,37.08092748,37,4.856,-88.60948373,88,36.569,1.305,,,2,TRUE,1,US0045X
18857144,27333037,7301,PADUCAH,73,MCCRACKEN,20,,2329 PARK AVE--RESIDENCE,2329,,US60 BUS,,,,42001,,KY,37.08341882,37,5.005,-88.62954537,88,37.773,0.428,,,1,TRUE,1,US0060X
18857215,27333118,7301,PADUCAH,73,MCCRACKEN,,,N 10TH ST/HC MATHIS DR,,N,10TH,ST,,CS1028,42001,,,37.0955274,37,5.732,-88.630729,88,37.844,0.307,,,1,,1,
18857218,27333121,7301,PADUCAH,73,MCCRACKEN,,,INTERSECTION OF SOURTH 3RD AND NORTON STREET,,,3RD,ST,,,42003,,,37.0778054,37,4.668,-88.5909333,88,35.456,2.456,,,2,,1,US0060X
18857413,27333374,7301,PADUCAH,73,MCCRACKEN,,,RESIDENCE,1108,,HILL,ST,,CS1380,42001,,,37.0558647,37,3.352,-88.6159649,88,36.958,0.155,,,4,,1,
18858338,27334531,7301,PADUCAH,73,MCCRACKEN,,,STAR LIQUOR,2213,,BRIDGE,ST,,CS1025,42003,,,37.0577065,37,3.462,-88.5823497,88,34.941,0.73,,,6,,1,
18859625,27336021,7301,PADUCAH,73,MCCRACKEN,,,CHARLESTON APARTMENTS,2142,,JEFFERSON,ST,,CS1004,42001,,,37.0890285,37,5.342,-88.5955038,88,35.73,0.041,,,3,,1,
18860116,27336667,7301,PADUCAH,73,MCCRACKEN,13,,TRAFFIC STOP AT OLD MAYFIELD ROAD,4300,,OLD MAYFIELD,RD,,,42003,,KY,37.04536043,37,2.722,-88.62756583,88,37.654,7.596,,,5,FALSE,1,KY0994
18860120,27336670,7301,PADUCAH,73,MCCRACKEN,,,RESIDENCE,820,,TENNESSEE,ST,,CS1297,42001,,,37.065881,37,3.953,-88.626327,88,37.58,0.127,,,4,,1,
