incidentid,IncidentVersNumber,IncidentTypeDesc,AgencyORI,AgencyNameTxt,CityCde,CityName,CountyCde,COUNTYNAMETXT,StateCde,IncidentDte,IncidentTime,IncidentEndDte,IncidentEndTime,LocalCodeCaseNumber,SecondaryReportID,IncidentOwnerUserID,EntryDte,SupplementDte,ReviewDte,IncidentDescription,LastModifiedDte,BeatPostNumber,TimeReceived,TimeDispatched,TimeArrived,TimeCleared,HowReportedDesc,ReportedDte,CreatedByBadgeNumber
18824375,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 00:00,0,1/1/2017 08:30,830,17-55,,,1/1/2017 17:03,,,,1/1/2017 16:28,,832,834,839,909,PHONE,1/1/2017 00:00,352
18826201,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 01:05,105,1/1/2017 01:15,115,17-00022,,,1/2/2017 07:01,,,,1/2/2017 06:54,,118,119,120,307,IN PERSON,1/1/2017 00:00,347
18826203,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 03:10,310,1/1/2017 03:15,315,17-32,,,1/2/2017 07:01,,,,1/2/2017 06:54,,315,315,315,415,IN VIEW,1/1/2017 00:00,322
18826204,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 04:10,410,1/1/2017 05:30,530,17-44,,,1/2/2017 07:02,,,,1/2/2017 06:54,,,,,,BY INVESTIGATION,1/1/2017 00:00,342
18828165,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 06:30,630,1/2/2017 07:00,700,17-142,,,1/2/2017 17:02,,,,1/2/2017 16:25,,632,633,644,914,PHONE,1/2/2017 00:00,352
18828830,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 08:00,800,1/1/2017 16:31,1631,17-00085,,,1/2/2017 23:01,,,,1/2/2017 22:31,,1534,1542,1551,1631,IN PERSON,1/1/2017 00:00,348
18828831,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 16:45,1645,1/1/2017 17:15,1715,17-199,,,1/2/2017 23:01,,,,1/2/2017 22:31,,1607,1608,1615,1705,IN PERSON,1/2/2017 00:00,284
18828945,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 16:52,1652,1/1/2017 16:55,1655,17-91,,,1/2/2017 23:07,,,,1/2/2017 22:31,,1701,1714,1717,1730,PHONE,1/1/2017 00:00,343
18828946,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/1/2017 17:15,1715,1/1/2017 17:40,1740,17-92,,,1/2/2017 23:07,,,,1/2/2017 22:31,,1717,1717,1717,1740,IN PERSON,1/1/2017 00:00,340
18834021,1,NIBRS,730100,PADUCAH POLICE DEPARTMENT,7301,PADUCAH,73,MCCRACKEN,,1/2/2017 18:30,1830,1/3/2017 06:32,632,17-247,,,1/3/2017 14:05,,,,1/3/2017 13:56,,632,632,635,700,IN PERSON,1/3/2017 00:00,183
