incidentid,OffenseID,ASCFCde,ASCFDesc,BiasMotivation,BurglaryOnlyForceDesc,ClassCde,Counts,CourtOrderExists,CourtOrderTypeCde,CourtOrderStateCde,CourtOrderCountyCde,CourtOrderCountyName,CourtOrderNumber,DegreeCde,LocationTypeDesc,OnCampus,Premises,SchoolFunction,SchoolName,SchoolType,ViolationCde,ViolationDesc,LarcenyTypeCde,TitleChange,WarningsRun,OffenderIsEmployee,LocalOffenseDescription,LocalStatute,IsCityOrdinance,IsCountyOrdinance,CargoTheft
18824375,2850964,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,1403,CRIMINAL MISCHIEF 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18826201,2851438,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,798,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,,FALSE,TRUE,,,,FALSE,FALSE,
18826203,2851441,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18826203,2851440,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,2304,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE,,FALSE,TRUE,,,,FALSE,FALSE,
18826204,2851444,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,2108,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC. .08 - 1ST OFF,,FALSE,TRUE,,,,FALSE,FALSE,
18826204,2851442,0,Not Applicable,NONE (NO BIAS),,,1,FALSE,,,,,,V,,,,FALSE,,,136,CARELESS DRIVING,,FALSE,TRUE,,,,FALSE,FALSE,
18826204,2851445,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18826204,2851446,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18826204,2851443,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,481,FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 2ND OFF,,FALSE,TRUE,,,,FALSE,FALSE,
18828165,2852282,0,Not Applicable,NONE (NO BIAS),,D,1,FALSE,,,,,,F,,,,FALSE,,,49031,PROMOTING CONTRABAND - 1ST DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18828165,2852281,0,Not Applicable,NONE (NO BIAS),,A,2,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18828165,2852283,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42245,POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED,,FALSE,TRUE,,,,FALSE,FALSE,
18828165,2852280,0,Not Applicable,NONE (NO BIAS),,D,2,FALSE,,,,,,F,,,,FALSE,,,42215,POSS CONT SUB 1ST DEG 1ST OFF (METHAMPHETAMINE),,FALSE,TRUE,,,,FALSE,FALSE,
18828830,2852339,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23915,TBUT OR DISP ALL OTHERS U/$500,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18828831,2852340,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,1113,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,,FALSE,TRUE,FALSE,,,FALSE,FALSE,
18828945,2852537,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,803,MENACING,,FALSE,TRUE,,,,FALSE,FALSE,
18828946,2852540,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18828946,2852538,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,,1,FALSE,,,,,,V,,,,FALSE,,,226,ONE HEADLIGHT,,FALSE,TRUE,,,,FALSE,FALSE,
18828946,2852539,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,,1,FALSE,,,,,,V,,,,FALSE,,,519,FAILURE TO PRODUCE INSURANCE CARD,,FALSE,TRUE,,,,FALSE,FALSE,
18834021,2853660,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,B,1,FALSE,,,,,,M,,,,FALSE,,,1403,CRIMINAL MISCHIEF 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18834021,2853659,1,Attempt,UNKNOWN (MOTIVATION NOT KNOWN),Force,C,1,FALSE,,,,,,F,,,,FALSE,,,22061,BURGLARY 2ND DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18837918,2854688,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,42081,DRUG PARAPHERNALIA - BUY/POSSESS,,FALSE,TRUE,,,,FALSE,FALSE,
18837918,2854687,0,Not Applicable,NONE (NO BIAS),,B,1,FALSE,,,,,,M,,,,FALSE,,,42330,POSS OF MARIJUANA,,FALSE,TRUE,,,,FALSE,FALSE,
18843510,2855789,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,2763,VIOLATION OF A KENTUCKY EPO/DVO,,,TRUE,,,,FALSE,FALSE,
18843515,2855795,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,23975,TBUT OR DISP BICYCLES U/$500,,,TRUE,FALSE,,,FALSE,FALSE,FALSE
18843517,2855796,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,797,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,,,TRUE,,,,FALSE,FALSE,
18843520,2855798,0,Not Applicable,NONE (NO BIAS),,A,1,FALSE,,,,,,M,,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,,TRUE,,,,FALSE,FALSE,
18843812,2855859,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,A,1,FALSE,,,,,,M,,,,FALSE,,,822,TERRORISTIC THREATENING 3RD DEGREE,,FALSE,TRUE,,,,FALSE,FALSE,
18843812,2855860,0,Not Applicable,UNKNOWN (MOTIVATION NOT KNOWN),,,1,FALSE,,,,,,V,,,,FALSE,,,2405,HARASSMENT ( NO PHYSICAL CONTACT),,FALSE,TRUE,,,,FALSE,FALSE,
